Location,TimeFrame,DataFormat,Data
YUMA SCHOOL DISTRICT 1,2007,Percent,1
YUMA SCHOOL DISTRICT 1,2006,Percent,1
YUMA SCHOOL DISTRICT 1,2005,Percent,1
YUMA SCHOOL DISTRICT 1,2004,Percent,0
YUMA SCHOOL DISTRICT 1,2008,Percent,1
YUMA SCHOOL DISTRICT 1,2009,Percent,1
YUMA SCHOOL DISTRICT 1,2010,Percent,1
YUMA SCHOOL DISTRICT 1,2011,Percent,1
YUMA SCHOOL DISTRICT 1,2012,Percent,1
YUMA SCHOOL DISTRICT 1,2013,Percent,1
YUMA SCHOOL DISTRICT 1,2014,Percent,1
