Location,TimeFrame,DataFormat,Data
BENNETT 29J,2013,Number,151
BENNETT 29J,2013,Percent,0.112
BETHUNE R-5,1995,Percent,0.092
BETHUNE R-5,1997,Percent,0.108
BETHUNE R-5,1999,Percent,0.325
BETHUNE R-5,2000,Percent,0.373
BETHUNE R-5,2001,Percent,0.325
BETHUNE R-5,2002,Percent,0.354
BETHUNE R-5,2003,Percent,0.291
BETHUNE R-5,2004,Percent,0.245
BETHUNE R-5,2005,Percent,0.318
BETHUNE R-5,2006,Percent,0.317
BETHUNE R-5,2007,Percent,0.306
BETHUNE R-5,2008,Percent,0.30435
BETHUNE R-5,2008,Number,28
BETHUNE R-5,2009,Number,31
BETHUNE R-5,2009,Percent,0.326
BETHUNE R-5,2010,Number,25
BETHUNE R-5,2010,Percent,0.21008
BETHUNE R-5,2011,Number,34
BETHUNE R-5,2011,Percent,0.276
BETHUNE R-5,2012,Number,28
BETHUNE R-5,2012,Percent,0.237
BETHUNE R-5,2013,Number,28
BETHUNE R-5,2013,Percent,0.235
BOULDER VALLEY RE 2,1995,Percent,0.079
BOULDER VALLEY RE 2,1997,Percent,0.5
BOULDER VALLEY RE 2,1999,Percent,0.5
BOULDER VALLEY RE 2,2000,Percent,0.5
BOULDER VALLEY RE 2,2001,Percent,0.056
BOULDER VALLEY RE 2,2002,Percent,0.06
BOULDER VALLEY RE 2,2003,Percent,0.068
BOULDER VALLEY RE 2,2004,Percent,0.5
BOULDER VALLEY RE 2,2005,Percent,0.074
BOULDER VALLEY RE 2,2006,Percent,0.5
BOULDER VALLEY RE 2,2007,Percent,0.5
BOULDER VALLEY RE 2,2008,Percent,0.5
BOULDER VALLEY RE 2,2008,Number,2004
BOULDER VALLEY RE 2,2009,Number,2690
BOULDER VALLEY RE 2,2009,Percent,0.08
BOULDER VALLEY RE 2,2010,Number,3182
BOULDER VALLEY RE 2,2010,Percent,0.10492
BOULDER VALLEY RE 2,2011,Number,2980
BOULDER VALLEY RE 2,2011,Percent,0.099
BOULDER VALLEY RE 2,2012,Number,2622
BOULDER VALLEY RE 2,2012,Percent,0.086
BOULDER VALLEY RE 2,2013,Number,2655
BOULDER VALLEY RE 2,2013,Percent,0.085
BUFFALO RE-4,1995,Percent,0.157
BUFFALO RE-4,1997,Percent,0.181
BUFFALO RE-4,1999,Percent,0.114
BUFFALO RE-4,2000,Percent,0.104
BUFFALO RE-4,2001,Percent,0.093
BUFFALO RE-4,2002,Percent,0.103
BUFFALO RE-4,2003,Percent,0.112
BUFFALO RE-4,2004,Percent,0.104
BUFFALO RE-4,2005,Percent,0.117
BUFFALO RE-4,2006,Percent,0.127
BUFFALO RE-4,2007,Percent,0.127
BUFFALO RE-4,2008,Percent,0.11275
BUFFALO RE-4,2008,Number,23
BUFFALO RE-4,2009,Number,31
BUFFALO RE-4,2009,Percent,0.156
BUFFALO RE-4,2010,Number,28
BUFFALO RE-4,2010,Percent,0.1466
BUFFALO RE-4,2011,Number,27
BUFFALO RE-4,2011,Percent,0.145
BUFFALO RE-4,2012,Number,27
BUFFALO RE-4,2012,Percent,0.146
BUFFALO RE-4,2013,Number,28
BUFFALO RE-4,2013,Percent,0.158
MONTROSE COUNTY RE-1J,1995,Percent,0.132
MONTROSE COUNTY RE-1J,1997,Percent,0.174
MONTROSE COUNTY RE-1J,1999,Percent,0.157
MONTROSE COUNTY RE-1J,2000,Percent,0.169
MONTROSE COUNTY RE-1J,2001,Percent,0.159
MONTROSE COUNTY RE-1J,2002,Percent,0.166
MONTROSE COUNTY RE-1J,2003,Percent,0.157
MONTROSE COUNTY RE-1J,2004,Percent,0.142
MONTROSE COUNTY RE-1J,2005,Percent,0.166
MONTROSE COUNTY RE-1J,2006,Percent,0.163
MONTROSE COUNTY RE-1J,2007,Percent,0.19
MONTROSE COUNTY RE-1J,2008,Percent,0.16106
MONTROSE COUNTY RE-1J,2008,Number,1020
MONTROSE COUNTY RE-1J,2009,Number,1299
MONTROSE COUNTY RE-1J,2009,Percent,0.188
MONTROSE COUNTY RE-1J,2010,Number,1423
MONTROSE COUNTY RE-1J,2010,Percent,0.20256
MONTROSE COUNTY RE-1J,2011,Number,1456
MONTROSE COUNTY RE-1J,2011,Percent,0.21
MONTROSE COUNTY RE-1J,2012,Number,1526
MONTROSE COUNTY RE-1J,2012,Percent,0.227
