Location,Poverty Level,TimeFrame,DataFormat,Data
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2014,Percent,0.69422
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2014,Number,3451
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2014,Percent,0.0827
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2014,Percent,0.61152
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2012,Percent,0.07842
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2012,Percent,0.59955
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2012,Number,3124
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2012,Percent,0.67797
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2012,Number,23883
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2012,Number,27007
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2011,Number,3137
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2011,Number,22671
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2011,Percent,0.079
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2011,Number,25808
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2011,Percent,0.6501
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2011,Percent,0.5711
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2010,Percent,0.074
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2010,Percent,0.635
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2010,Percent,0.561
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2010,Number,21645
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2010,Number,24513
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2009,Number,19938
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2010,Number,2868
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2009,Number,22677
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2009,Number,2739
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2009,Percent,0.0741
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2009,Percent,0.6134
ADAMS-ARAPAHOE 28J,Eligible for Reduced Price Lunch,2013,Percent,0.07946
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2009,Percent,0.5393
ADAMS-ARAPAHOE 28J,Eligible for Free or Reduced Lunch,2013,Percent,0.67657
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2013,Percent,0.59711
ADAMS-ARAPAHOE 28J,Eligible for Free Lunch,2013,Number,24408
